iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
RUS,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,18946.69226,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
RWA,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,1.249176,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
RWA,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,23.496917,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
RWA,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,2303.523492,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
RWA,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,988.945316,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SAU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,1241.331803,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SAU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,11010.4197,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SAU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,1252586.850792,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SAU,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,637244.679395,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SCG,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,512.80663,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SCG,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,435.026447,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2,1087232.427,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,39.222581,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,184.500773,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,1113085.253316,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SDN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,1102792.432609,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SEN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,22.141909,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SEN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,144.120936,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SGP,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,103.41379,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SGP,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,1555.079504,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SHN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,0.0455,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SHN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,16.59,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SHN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,13.5835,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.518893
SLB,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,0.696003,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SLB,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,4.31732,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SLE,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,1.29083,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SLE,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,27.200326,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SLV,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,12.144908,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SLV,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,402.467952,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SLV,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,37013.56367999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SLV,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,14487.503276,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SOM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,0.80327,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SOM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,55.034918999999995,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SOM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2,0.0,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:05.202605
SPM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,3.429373,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SPM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,3.840595,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
STP,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,0.191345,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
STP,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,1.423787,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
STP,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,170.11318799999998,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
STP,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,90.572461,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SUR,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2,84414.23999999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SUR,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,9.29004,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SUR,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,46.450199999999995,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SUR,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,90768.62735999998,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SUR,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,88176.70619999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SVK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,381.213246,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SVK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,695.0985430000001,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:27.882954
SVN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,66.19962699999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SVN,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,137.375599,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SWE,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,448.939403,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SWE,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,7242.390138999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SWZ,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,1.016709,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SWZ,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,8.215841000000001,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SWZ,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,958.54182,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SWZ,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,499.471433,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SYC,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,1.413794,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SYC,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,6.623385,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SYC,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,929.605956,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
SYC,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,560.11019,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
TCA,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,3.565326,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
TCA,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,3.274369,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
TGO,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,3.880566,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
TGO,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,21.108707000000003,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
THA,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,3966245.54304,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
THA,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,3105487.19225,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
